time_ms,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z
0.166666667,0.005669251,0.541912556,-0.503697872,0.175512686,0.423836321,-0.288403332,0.290392578,0.220534578,-0.286744475,0.409164816,0.007877652,-0.385436088,0.118902348,0.00058443,0.001948857,0.119330846,-0.395477742,0.13935107,0.164547116,-0.659186423,0.409147173,-0.18387644,0.424565166,-0.298293501,-0.31697613,0.234724775,-0.268051058,-0.433302552,0.021646379,-0.361590236,-0.119154327,7.18E-05,-0.000682278,-0.142321512,-0.367796481,0.155289218,-0.144870952,-0.664914787,0.409892976
0.183333333,0.005425939,0.539227843,-0.507941544,0.172542349,0.423632115,-0.293997586,0.296920449,0.229076207,-0.303591132,0.421183586,0.017878292,-0.406199902,0.118748911,0.000863553,0.003034296,0.117389441,-0.394435734,0.161093727,0.158977136,-0.658623159,0.428126663,-0.186323762,0.423302442,-0.303178012,-0.321924686,0.245467365,-0.279263914,-0.45190075,0.035342924,-0.373522013,-0.118989274,-0.000214992,-0.001772942,-0.145206153,-0.362837911,0.161953509,-0.149373189,-0.660691559,0.412450701
0.2,0.005766558,0.538488686,-0.50913161,0.17153585,0.424126476,-0.297060192,0.304898113,0.241169363,-0.313513398,0.428439379,0.033681478,-0.41513747,0.118534483,0.00113272,0.00315265,0.115292691,-0.393023521,0.164184272,0.156225339,-0.65775305,0.42904672,-0.186319247,0.423030525,-0.304379344,-0.326592654,0.2552239,-0.283946961,-0.470436871,0.053437609,-0.377400428,-0.118766561,-0.000493935,-0.001897235,-0.146393761,-0.360172242,0.165384382,-0.150246382,-0.658776879,0.412672371
0.216666667,0.007179221,0.535461724,-0.513457716,0.171595111,0.424219191,-0.301698446,0.317072451,0.248795569,-0.318992943,0.446168154,0.044751674,-0.415252745,0.118381597,0.001248841,0.003465768,0.114620693,-0.392963856,0.168091714,0.156153053,-0.657250524,0.435315341,-0.186010271,0.421499044,-0.309868902,-0.329145014,0.263870031,-0.293076694,-0.484360397,0.079319879,-0.386965364,-0.118606456,-0.000615526,-0.002218792,-0.146707654,-0.359734565,0.166594699,-0.149886042,-0.65708375,0.412639439
0.233333333,0.008358354,0.534494936,-0.513242841,0.171648905,0.425360829,-0.301772118,0.331750572,0.260854214,-0.31619969,0.471958816,0.060773723,-0.410027683,0.118234813,0.001409954,0.003889237,0.114499316,-0.392799586,0.17693527,0.156219438,-0.657186985,0.450453192,-0.185568452,0.421656996,-0.310197562,-0.333441794,0.277285069,-0.294769615,-0.49578771,0.097396381,-0.388409674,-0.118458681,-0.00078056,-0.002666014,-0.146848977,-0.359652072,0.168910399,-0.148486644,-0.656527579,0.413671672
0.25,0.010869127,0.535033405,-0.511852264,0.171709746,0.432557225,-0.300380588,0.338691711,0.278639793,-0.310748607,0.483624697,0.080543898,-0.403646976,0.118038863,0.001707867,0.004711463,0.114493087,-0.392352372,0.182644948,0.156699598,-0.657129467,0.4558644,-0.184647217,0.424777597,-0.308899432,-0.33387357,0.293640316,-0.298190743,-0.504043102,0.121022671,-0.392775893,-0.118264571,-0.001079314,-0.003520174,-0.146931753,-0.359832734,0.168559134,-0.145886198,-0.656852245,0.412300974
0.266666667,0.011554656,0.53205514,-0.517608047,0.171399504,0.432602257,-0.302107602,0.341360033,0.281621933,-0.309730411,0.489550889,0.083590195,-0.400709152,0.117884323,0.001918605,0.005427217,0.113233708,-0.392136753,0.192368001,0.154839382,-0.65705651,0.46446088,-0.184685946,0.425320864,-0.317112178,-0.343842953,0.304710805,-0.314436942,-0.517655015,0.130936131,-0.409036994,-0.118118189,-0.001284735,-0.004259121,-0.147024095,-0.359870762,0.171173081,-0.145516992,-0.65684104,0.413633823
0.283333333,0.012504954,0.526822209,-0.522982597,0.171345055,0.433331162,-0.30166468,0.343684435,0.288373321,-0.307483047,0.501362622,0.094240911,-0.390787899,0.117784448,0.002224263,0.006427356,0.112716526,-0.388854086,0.213146701,0.153843731,-0.651577115,0.484119475,-0.184705123,0.426038295,-0.322434753,-0.353473336,0.315119535,-0.324419171,-0.528106034,0.142810687,-0.418901801,-0.118025601,-0.001570191,-0.005274505,-0.146988466,-0.357340217,0.177486703,-0.143703803,-0.653075397,0.420396835
0.3,0.013340781,0.526117742,-0.526971698,0.171421871,0.434351891,-0.303907901,0.349675983,0.2941643,-0.307463348,0.516557634,0.107168786,-0.390112847,0.117607281,0.002531327,0.006939774,0.112243533,-0.387862891,0.217765287,0.151428953,-0.651308775,0.482027113,-0.184666485,0.42729646,-0.325748801,-0.363610536,0.327296585,-0.328461468,-0.544472516,0.162766755,-0.422725469,-0.117863171,-0.001863096,-0.005801495,-0.146905288,-0.356621772,0.179533139,-0.142612636,-0.652933002,0.420298636
0.316666667,0.017590567,0.524063766,-0.530924678,0.17209594,0.435425729,-0.305553496,0.358963162,0.304430008,-0.308227897,0.531553328,0.119281709,-0.389920294,0.117292039,0.002885232,0.00732697,0.112169631,-0.383352309,0.226143017,0.149639443,-0.648541868,0.484714419,-0.184291229,0.427873582,-0.328758359,-0.372962892,0.338702708,-0.33234027,-0.554608285,0.173157632,-0.424637735,-0.117572375,-0.00220207,-0.006212282,-0.146376133,-0.353635103,0.193148062,-0.141066298,-0.649885595,0.438358814
